,state,keyword,corr_case,corr_death
150,Alabama, Coronavirus update,-0.21674231689702556,-0.25211987015770965
151,Alaska, Coronavirus update,-0.23490445888414657,-0.23012319496515543
152,Arizona, Coronavirus update,-0.23153061618036783,-0.28341288996077724
153,Arkansas, Coronavirus update,-0.23374829854523568,-0.3182044912701609
154,California, Coronavirus update,-0.1704393717968649,-0.24496148255171177
155,Colorado, Coronavirus update,-0.2278261245108719,-0.213599042837733
156,Connecticut, Coronavirus update,-0.1750406512512302,0.03870797949191373
157,Delaware, Coronavirus update,-0.1977650231588326,-0.18663780336687988
158,Georgia, Coronavirus update,-0.22969841975333702,-0.3663598678405551
159,Hawaii, Coronavirus update,-0.15638231847925285,-0.3170433826477396
160,Idaho, Coronavirus update,-0.3057470309034997,-0.31425679914084065
161,Indiana, Coronavirus update,-0.24125727786555828,-0.22493563344476458
162,Iowa, Coronavirus update,-0.27956562965441234,-0.26283022167260506
163,Kansas, Coronavirus update,-0.22931533085837585,-0.25395977885640053
164,Louisiana, Coronavirus update,-0.17805921786973622,-0.16105424428499865
165,Maine, Coronavirus update,-0.32934378023292427,-0.28907119334229137
166,Montana, Coronavirus update,-0.2917051411156767,-0.32982055094316143
167,Nebraska, Coronavirus update,-0.26094833548531293,-0.22404809038297668
168,New Hampshire, Coronavirus update,-0.22826804929109631,-0.21920426927185493
169,New Jersey, Coronavirus update,-0.1264735424163344,0.08723101859148222
170,New Mexico, Coronavirus update,-0.22274024026390613,-0.268054056491265
171,Maryland, Coronavirus update,-0.14630067329872248,-0.16339706359094217
172,Massachusetts, Coronavirus update,-0.16093956227675538,-0.04223910091469135
173,Michigan, Coronavirus update,-0.23363550328056715,-0.14769976807174046
174,North Carolina, Coronavirus update,-0.2113756897905072,-0.35707153713346207
175,North Dakota, Coronavirus update,-0.2546307423836649,-0.21756571092778168
176,Ohio, Coronavirus update,-0.2403195351759188,-0.25266081693748266
177,Oklahoma, Coronavirus update,-0.24408935064314188,-0.2753807535962059
178,Mississippi, Coronavirus update,-0.22942632439305236,-0.29776529683864233
179,Missouri, Coronavirus update,-0.24766626105197637,-0.250291977089262
180,Pennsylvania, Coronavirus update,-0.22550976267441739,-0.20787221851233198
181,South Carolina, Coronavirus update,-0.22710309210476828,-0.32681578547157636
182,South Dakota, Coronavirus update,-0.23027202968661203,-0.1868430109219001
183,Tennessee, Coronavirus update,-0.2315508643015757,-0.2461986705426625
184,Utah, Coronavirus update,-0.2371556376751676,-0.4221551981085016
185,Vermont, Coronavirus update,-0.20025179897705012,-0.2063959567619576
186,Virginia, Coronavirus update,-0.22320952486058662,-0.25005183847832135
187,Washington, Coronavirus update,-0.20491051463368598,-0.25004165258077715
188,Wisconsin, Coronavirus update,-0.22445957330009528,-0.28506931760640397
189,Wyoming, Coronavirus update,-0.2663252785745816,-0.2715094974187544
190,Minnesota, Coronavirus update,-0.2501080172143076,-0.25410311039313505
191,Texas, Coronavirus update,-0.23365926281779356,-0.36428718526958836
192,West Virginia, Coronavirus update,-0.27034205050621424,-0.33020817711085687
193,Rhode Island, Coronavirus update,-0.16875163339354507,-0.0737919491381857
194,Oregon, Coronavirus update,-0.23610766737209296,-0.36370135101027173
195,New York, Coronavirus update,-0.1228149045268161,0.1594232406261552
196,Nevada, Coronavirus update,-0.22947662788243015,-0.33947786021663445
197,Illinois, Coronavirus update,-0.18915351381248044,-0.15559262639687593
198,Florida, Coronavirus update,-0.1957946463442594,-0.3328376934150525
199,Kentucky, Coronavirus update,-0.2632316677133511,-0.36375657626478136
200,Alabama, Coronavirus symptoms,-0.18572676965408458,-0.229664853889577
201,Alaska, Coronavirus symptoms,-0.19878007677474493,-0.20310072817863917
202,Arizona, Coronavirus symptoms,-0.1812215185555675,-0.2367062895311692
203,Arkansas, Coronavirus symptoms,-0.18128428117911455,-0.24850700292085764
204,California, Coronavirus symptoms,-0.13822264844755922,-0.2120498114233851
205,Colorado, Coronavirus symptoms,-0.17930474993865383,-0.21234506607476514
206,Connecticut, Coronavirus symptoms,-0.14267700105476544,-0.06662236706730229
207,Delaware, Coronavirus symptoms,-0.16548503880572363,-0.21879941963715976
208,Georgia, Coronavirus symptoms,-0.19018485700694104,-0.33643543268368514
209,Hawaii, Coronavirus symptoms,-0.10724869569993388,-0.24738747146652998
210,Idaho, Coronavirus symptoms,-0.2491822417769694,-0.26424407764729213
211,Indiana, Coronavirus symptoms,-0.19262804872698436,-0.21596613340827014
212,Iowa, Coronavirus symptoms,-0.20805901954903233,-0.21236627722030546
213,Kansas, Coronavirus symptoms,-0.17985001978901266,-0.2059670679573855
214,Louisiana, Coronavirus symptoms,-0.16268909261435005,-0.22290203513153398
215,Maine, Coronavirus symptoms,-0.2228946907149216,-0.21443484411198732
216,Montana, Coronavirus symptoms,-0.23624919307153114,-0.2667782227134464
217,Nebraska, Coronavirus symptoms,-0.1970528035798809,-0.17354404413986854
218,New Hampshire, Coronavirus symptoms,-0.17380130472355815,-0.1928943677892501
219,New Jersey, Coronavirus symptoms,-0.12412849310078139,-0.03806003594985965
220,New Mexico, Coronavirus symptoms,-0.18706065202003358,-0.2330332605083565
221,Maryland, Coronavirus symptoms,-0.12323881481584545,-0.1917986154156496
222,Massachusetts, Coronavirus symptoms,-0.14859058573242742,-0.11062853242937867
223,Michigan, Coronavirus symptoms,-0.19915270057390344,-0.2037676760625022
224,North Carolina, Coronavirus symptoms,-0.17621366763878446,-0.30003521959480994
225,North Dakota, Coronavirus symptoms,-0.19489625446486084,-0.17068124038809218
226,Ohio, Coronavirus symptoms,-0.17377871158645816,-0.199725644357326
227,Oklahoma, Coronavirus symptoms,-0.18561544269300087,-0.21666263494628804
228,Mississippi, Coronavirus symptoms,-0.17938521308506952,-0.2566836902360533
229,Missouri, Coronavirus symptoms,-0.19279540623571215,-0.20820559984044096
230,Pennsylvania, Coronavirus symptoms,-0.17516852837899508,-0.19794830998973306
231,South Carolina, Coronavirus symptoms,-0.1913357539275709,-0.2857291750136915
232,South Dakota, Coronavirus symptoms,-0.18575128493871987,-0.16965281097303123
233,Tennessee, Coronavirus symptoms,-0.19094698966443338,-0.2067981558222743
234,Utah, Coronavirus symptoms,-0.19098086503050404,-0.34883866191428015
235,Vermont, Coronavirus symptoms,-0.12980321338448894,-0.17958328556451397
236,Virginia, Coronavirus symptoms,-0.1798147429209841,-0.21946620965943472
237,Washington, Coronavirus symptoms,-0.15656689906989832,-0.2605339744890382
238,Wisconsin, Coronavirus symptoms,-0.16637602284418662,-0.23558632400993387
239,Wyoming, Coronavirus symptoms,-0.19082116326630771,-0.20631378008288365
240,Minnesota, Coronavirus symptoms,-0.19419267600047344,-0.22078191123531832
241,Texas, Coronavirus symptoms,-0.18899977210768168,-0.30955678554443666
242,West Virginia, Coronavirus symptoms,-0.20276165115203726,-0.252063687392639
243,Rhode Island, Coronavirus symptoms,-0.1382502054661526,-0.13114485861141278
244,Oregon, Coronavirus symptoms,-0.1911572622415314,-0.3072504521991374
245,New York, Coronavirus symptoms,-0.10929941106998489,-0.04908490051944321
246,Nevada, Coronavirus symptoms,-0.17769408225720726,-0.28217975543384194
247,Illinois, Coronavirus symptoms,-0.15747884861422148,-0.18599694959333937
248,Florida, Coronavirus symptoms,-0.16097911314095567,-0.29524762213312655
249,Kentucky, Coronavirus symptoms,-0.2031068174510928,-0.2988097822655083
250,Alabama, Zoom,-0.1956085472362381,-0.14229809448806272
251,Alaska, Zoom,-0.26238360399078964,-0.2825920844200796
252,Arizona, Zoom,-0.23214510795367257,-0.09346985300621102
253,Arkansas, Zoom,-0.22224084166362257,-0.2292262451274426
254,California, Zoom,-0.1996371776293498,-0.08036521553327046
255,Colorado, Zoom,-0.25675152043405386,-0.12792140439381147
256,Connecticut, Zoom,-0.13903101424235434,0.3791447737362179
257,Delaware, Zoom,-0.20539427661556142,-0.04300930913544438
258,Georgia, Zoom,-0.19114932036837795,-0.11141899032618391
259,Hawaii, Zoom,-0.17467666563753947,-0.2718645276017872
260,Idaho, Zoom,-0.2635089732570181,-0.2704822891218571
261,Indiana, Zoom,-0.22728367002253272,-0.09500410567690865
262,Iowa, Zoom,-0.20827545333658176,-0.13888682080113676
263,Kansas, Zoom,-0.2034733545314667,-0.15455774329714467
264,Louisiana, Zoom,-0.1659119528033604,0.22613473277348994
265,Maine, Zoom,-0.3735733593135631,-0.268028869903203
266,Montana, Zoom,-0.29876593196002804,-0.3153314317134039
267,Nebraska, Zoom,-0.2292800431924536,-0.17269450269895997
268,New Hampshire, Zoom,-0.24995018924668982,-0.14986398808504153
269,New Jersey, Zoom,-0.11877722686645034,0.2652550386384698
270,New Mexico, Zoom,-0.2421698433969692,-0.21203152263483876
271,Maryland, Zoom,-0.1544799503513167,0.018450909081332074
272,Massachusetts, Zoom,-0.1761090135727285,0.1847648184015554
273,Michigan, Zoom,-0.20918666753028084,0.031927268749691685
274,North Carolina, Zoom,-0.2225064944675304,-0.25515585997342033
275,North Dakota, Zoom,-0.20070130941226663,-0.08566301541248175
276,Ohio, Zoom,-0.24545935859133247,-0.18449532160424512
277,Oklahoma, Zoom,-0.2344612772105268,-0.27955008883850335
278,Mississippi, Zoom,-0.18417508593999438,-0.10625090430184479
279,Missouri, Zoom,-0.2317970937705091,-0.21962956725651658
280,Pennsylvania, Zoom,-0.23233213975726708,-0.0842886501146373
281,South Carolina, Zoom,-0.21597140737261383,-0.16848960071673014
282,South Dakota, Zoom,-0.15066089109297007,-0.112017675586418
283,Tennessee, Zoom,-0.22877116370848483,-0.2139941339745323
284,Utah, Zoom,-0.16302748687323546,-0.3125836890637931
285,Vermont, Zoom,-0.25772718518484056,-0.14702954921844633
286,Virginia, Zoom,-0.2122652623877635,-0.1630904771667923
287,Washington, Zoom,-0.26080814248337797,-0.18142795318461089
288,Wisconsin, Zoom,-0.21976163515382544,-0.1995878397131263
289,Wyoming, Zoom,-0.26488292474963804,-0.2826721765593766
290,Minnesota, Zoom,-0.2519069694205525,-0.1424626991108648
291,Texas, Zoom,-0.21410021821505343,-0.15527221918282144
292,West Virginia, Zoom,-0.2838104717977298,-0.2891399004355545
293,Rhode Island, Zoom,-0.15896753126565447,0.19290213491855238
294,Oregon, Zoom,-0.2608525833012456,-0.37720599099355007
295,New York, Zoom,-0.01599755126757876,0.5153872230985856
296,Nevada, Zoom,-0.19211285135003497,-0.1784532315616442
297,Illinois, Zoom,-0.16698587366699685,0.019075151206311276
298,Florida, Zoom,-0.23383899375418749,-0.195727222864097
299,Kentucky, Zoom,-0.2660747967898269,-0.35062663497654367
300,Alabama, Who is winning the election,-0.009778907606389409,-0.05097672324303981
301,Alaska, Who is winning the election,0.004784475834359519,-0.033222058749864655
302,Arizona, Who is winning the election,-0.04738873365099867,-0.08411968761402677
303,Arkansas, Who is winning the election,-0.008682562854132625,0.027544906418858244
304,California, Who is winning the election,-0.03827171930266239,-0.054360736567254875
305,Colorado, Who is winning the election,-0.004580685487584416,-0.053688036352337744
306,Connecticut, Who is winning the election,-0.02281283676135492,-0.04833138480772673
307,Delaware, Who is winning the election,-0.04136299786020871,-0.0025061595417109985
308,Georgia, Who is winning the election,-0.041206901151888874,-0.06505789288985193
309,Hawaii, Who is winning the election,-0.032243135564907176,0.026280743318165035
310,Idaho, Who is winning the election,0.06413344099592916,0.02408755058661159
311,Indiana, Who is winning the election,0.004509414151471403,0.014269179915562142
312,Iowa, Who is winning the election,0.05264592852370683,0.01394702482795304
313,Kansas, Who is winning the election,0.003641721755556382,0.0011554644724459519
314,Louisiana, Who is winning the election,-0.045402577468681565,-0.055587538131960226
315,Maine, Who is winning the election,-0.07309367107361658,-0.09495554727023348
316,Montana, Who is winning the election,0.10543965496492202,0.12005583429282644
317,Nebraska, Who is winning the election,0.04301248476270328,0.03153867881145897
318,New Hampshire, Who is winning the election,-0.05256939121305216,-0.0598374347911083
319,New Jersey, Who is winning the election,-0.02352915091366039,-0.05867465775729888
320,New Mexico, Who is winning the election,0.00889240355194898,-0.034527744077617925
321,Maryland, Who is winning the election,-0.026707900515886663,-0.06262167547642075
322,Massachusetts, Who is winning the election,-0.03152475503909266,-0.03732740359446811
323,Michigan, Who is winning the election,-0.01573648002031532,-0.05181752534284817
324,North Carolina, Who is winning the election,-0.028019574637850556,0.004645890665951861
325,North Dakota, Who is winning the election,0.13979282592470338,0.17276416882582632
326,Ohio, Who is winning the election,-0.02231320573627078,-0.028617689116174284
327,Oklahoma, Who is winning the election,-0.01205843720020645,-0.03104334701985526
328,Mississippi, Who is winning the election,-0.024684921801470357,-0.03349658844836885
329,Missouri, Who is winning the election,0.012988885151387764,0.025576721403200404
330,Pennsylvania, Who is winning the election,-0.03625668832722788,-0.06234314539474637
331,South Carolina, Who is winning the election,-0.03799594410478529,-0.011888754961723572
332,South Dakota, Who is winning the election,0.17707347444755184,0.08751039316036843
333,Tennessee, Who is winning the election,-0.005695703957088285,0.007424228462606662
334,Utah, Who is winning the election,0.018189036267854026,-0.035353875981771386
335,Vermont, Who is winning the election,-0.04802236053263478,-0.09545514429806912
336,Virginia, Who is winning the election,-0.03587790095869615,-0.037706063304751986
337,Washington, Who is winning the election,-0.03971596794025293,-0.062488829627068164
338,Wisconsin, Who is winning the election,0.08546572451071242,0.14954015044583807
339,Wyoming, Who is winning the election,0.05738333950978491,0.006378429249341941
340,Minnesota, Who is winning the election,-2.694227750801946e-06,0.0014572515394256072
341,Texas, Who is winning the election,-0.029916845085495507,-0.0416538147544599
342,West Virginia, Who is winning the election,-0.03987224316157921,-0.05600074577638265
343,Rhode Island, Who is winning the election,-0.012919286714931987,-0.033536957072709137
344,Oregon, Who is winning the election,-0.039085478605284656,-0.05859344194246412
345,New York, Who is winning the election,-0.03983251849995095,-0.05732389783667731
346,Nevada, Who is winning the election,-0.011283427024634593,-0.08033016223714169
347,Illinois, Who is winning the election,0.0172628444354852,-0.01312672619870206
348,Florida, Who is winning the election,-0.03872386785227701,-0.054752880447741646
349,Kentucky, Who is winning the election,-0.011356940241131493,-0.046982585779252836
350,Alabama, Naya Rivera,-0.03572796597791302,-0.05846083488105025
351,Alaska, Naya Rivera,-0.08017440839347352,-0.08734540946893928
352,Arizona, Naya Rivera,0.02563118540275338,0.004667349951746269
353,Arkansas, Naya Rivera,-0.05300515326031108,-0.10431080368715437
354,California, Naya Rivera,-0.032895221647327055,-0.049963673568846304
355,Colorado, Naya Rivera,-0.09766791105353684,-0.13007933328753227
356,Connecticut, Naya Rivera,-0.08561576936591084,-0.08055957234699652
357,Delaware, Naya Rivera,-0.06554662528983339,-0.11944271496153583
358,Georgia, Naya Rivera,-0.030308984617741373,-0.1465809396634681
359,Hawaii, Naya Rivera,-0.05341198061436151,-0.12913205991175067
360,Idaho, Naya Rivera,-0.06176499714690593,-0.13166251651432528
361,Indiana, Naya Rivera,-0.09483702086340468,-0.10481769767528197
362,Iowa, Naya Rivera,-0.07801433999719608,-0.10530059343006588
363,Kansas, Naya Rivera,-0.07567934236465845,-0.10100611890960162
364,Louisiana, Naya Rivera,-0.016783095540573553,-0.08138469915324932
365,Maine, Naya Rivera,-0.11935798189066463,-0.10901519793251689
366,Montana, Naya Rivera,-0.11567544459095136,-0.13869132544399376
367,Nebraska, Naya Rivera,-0.08876759669308545,-0.06947725240539394
368,New Hampshire, Naya Rivera,-0.09174505474567105,-0.02927849072193496
369,New Jersey, Naya Rivera,-0.07179137006996221,-0.037553979303635826
370,New Mexico, Naya Rivera,-0.08165677858771878,-0.09423626575746703
371,Maryland, Naya Rivera,-0.05811660551596231,-0.0620677779694343
372,Massachusetts, Naya Rivera,-0.07924971542685512,-0.04756717831746826
373,Michigan, Naya Rivera,-0.09392719698540869,-0.12455957741621185
374,North Carolina, Naya Rivera,-0.05082553961451287,-0.11438989810387296
375,North Dakota, Naya Rivera,-0.09895819144728826,-0.09740576905243528
376,Ohio, Naya Rivera,-0.07569477319599359,-0.09649158329108241
377,Oklahoma, Naya Rivera,-0.07198139100857755,-0.11017030580587954
378,Mississippi, Naya Rivera,-0.042702664405882634,-0.034692538754739564
379,Missouri, Naya Rivera,-0.0874149550010094,-0.1050649714530626
380,Pennsylvania, Naya Rivera,-0.0904555199937184,-0.09270086236947632
381,South Carolina, Naya Rivera,-0.02331214562526601,-0.054720516485268364
382,South Dakota, Naya Rivera,-0.1066265250031332,-0.07842260585628213
383,Tennessee, Naya Rivera,-0.0554730219062809,-0.0794943648149063
384,Utah, Naya Rivera,-0.061724961041202606,-0.1120282816539122
385,Vermont, Naya Rivera,-0.06932085772037912,-0.13262139016788305
386,Virginia, Naya Rivera,-0.07631928953180825,-0.05076347491377333
387,Washington, Naya Rivera,-0.06922154052177909,-0.11536130907758776
388,Wisconsin, Naya Rivera,-0.0802599699566653,-0.13066620157912204
389,Wyoming, Naya Rivera,-0.1069548317239871,-0.12613933569359842
390,Minnesota, Naya Rivera,-0.09731392798745903,-0.09833457629252328
391,Texas, Naya Rivera,-0.028554754378574666,-0.0737150178344468
392,West Virginia, Naya Rivera,-0.10779829603201245,-0.1438190361135919
393,Rhode Island, Naya Rivera,-0.07575533142170641,-0.05150616090714526
394,Oregon, Naya Rivera,-0.07322826119511233,-0.12856820959548648
395,New York, Naya Rivera,-0.06773549486493238,-0.07287641927236622
396,Nevada, Naya Rivera,-0.02580467501486253,-0.11265066946421977
397,Illinois, Naya Rivera,-0.0741553728985957,-0.04372581414458083
398,Florida, Naya Rivera,6.76785955166011e-05,-0.08674793539489144
399,Kentucky, Naya Rivera,-0.09682610154072988,-0.12759457593071133
400,Alabama, Chadwick Boseman,-0.038324245763303004,-0.0437608512918404
401,Alaska, Chadwick Boseman,-0.06884379436924627,-0.05855910314587388
402,Arizona, Chadwick Boseman,-0.07544923340842695,0.00916989461339417
